Fecha,BTC_price,BTC_supply,MarketCapBTC_USD,M2SL_USD,m2_published,TxVolumeUSD,TxTfrCnt,Gold_price,Dominance_dec,DMB,MC2,MC1,RV12,UC
2015-01-01,263.52,13784800.0,3632570495.9999995,11805200000000.0,True,1979241491.480186,92876.375,1279.2,0.8003677419354838,-8.086354868055894,-8.69358170515026,-5.000052507055335,-1.1236032968628515,1.3885943350990018
2015-02-01,239.94,13890275.0,3332832583.5,11922800000000.0,True,1317653696.042424,93906.85714285714,1213.1,0.8229071428571428,-8.182385244272634,-9.110355160396526,-4.996640824405064,-0.7610263242384437,1.5361691550405139
2015-03-01,252.96,14004050.0,3542464488.0,11920500000000.0,True,1668649874.2158978,101887.875,1183.2,0.8636806451612903,-8.12119221807482,-8.874000045151895,-4.923228908532838,-0.5795722201624227,1.8462027464479327
2015-04-01,225.62,14110400.0,3183588448.0,11954600000000.0,True,1424328378.6189394,103594.57142857143,1182.4,0.8714799999999999,-8.230862417182403,-9.035171031161074,-4.91418246401954,-0.6239273846348832,1.9141083815104747
2015-05-01,235.31,14222025.0,3346584702.75,11982600000000.0,True,1361275826.3726141,104420.125,1189.8,0.8781741935483872,-8.183270542417423,-9.0827885088759,-4.914124673211514,-0.8576937684905289,1.9752527636133743
2015-06-01,248.57,14331575.0,3562399597.75,12023200000000.0,True,1814265486.006597,116860.85714285714,1171.8,0.84807,-8.124159033509986,-8.79891270071799,-4.809236452180481,-0.7605837790993362,1.719543291099209
2015-07-01,288.45,14446150.0,4166991967.5,12067000000000.0,True,2009541481.6538882,138061.125,1095.1,0.8493290322580646,-7.97103530828093,-8.700323155605773,-4.6504867001808865,-0.5636191874216931,1.729348226234345
2015-08-01,225.11,14561025.0,3277832337.75,12112000000000.0,True,2486483916.161339,114148.5,1132.5,0.8414096774193548,-8.214769644390955,-8.491082344990671,-4.8486034853394795,-0.6829552029247561,1.6687543830957496
2015-09-01,239.14,14672750.0,3508841435.0,12173900000000.0,True,2096064678.9216282,136021.42857142858,1115.2,0.84686,-8.1517636873008,-8.666987970546266,-4.680934874615619,-0.3639509497687358,1.7101828560491037
2015-10-01,328.17,14786750.0,4852567747.5,12225200000000.0,True,2765318919.682748,136007.125,1141.4,0.8805096774193548,-7.831746676803758,-8.394098704147078,-4.688779514418516,-0.04085475893838973,1.99726553319497
