date,value
2023-02-19,19296312.5
2023-02-20,19297231.25
2023-02-21,19298275.0
2023-02-22,19299150.0
2023-02-23,19300218.75
2023-02-24,19301062.5
2023-02-25,19301731.25
2023-02-26,19302781.25
2023-02-27,19303656.25
2023-02-28,19304512.5
2023-03-01,19305575.0
2023-03-02,19306475.0
2023-03-03,19307525.0
2023-03-04,19308475.0
2023-03-05,19309443.75
2023-03-06,19310268.75
2023-03-07,19311300.0
2023-03-08,19312131.25
2023-03-09,19312975.0
2023-03-10,19313825.0
2023-03-11,19314856.25
2023-03-12,19315862.5
2023-03-13,19316843.75
2023-03-14,19317756.25
2023-03-15,19318675.0
2023-03-16,19319512.5
2023-03-17,19320431.25
2023-03-18,19321443.75
2023-03-19,19322368.75
2023-03-20,19323331.25
2023-03-21,19324237.5
2023-03-22,19325231.25
2023-03-23,19326375.0
2023-03-24,19327387.5
2023-03-25,19328293.75
2023-03-26,19329193.75
2023-03-27,19330118.75
2023-03-28,19330956.25
2023-03-29,19331875.0
2023-03-30,19332843.75
2023-03-31,19333725.0
2023-04-01,19334600.0
2023-04-02,19335531.25
2023-04-03,19336350.0
2023-04-04,19337362.5
2023-04-05,19338231.25
2023-04-06,19339231.25
2023-04-07,19340118.75
2023-04-08,19341037.5
2023-04-09,19341950.0
2023-04-10,19342718.75
2023-04-11,19343681.25
2023-04-12,19344681.25
2023-04-13,19345568.75
2023-04-14,19346443.75
2023-04-15,19347431.25
2023-04-16,19348206.25
2023-04-17,19349175.0
2023-04-18,19350212.5
2023-04-19,19351081.25
2023-04-20,19351912.5
2023-04-21,19352818.75
2023-04-22,19353750.0
2023-04-23,19354668.75
2023-04-24,19355550.0
2023-04-25,19356331.25
2023-04-26,19357143.75
2023-04-27,19357956.25
2023-04-28,19358875.0
2023-04-29,19359731.25
2023-04-30,19360656.25
2023-05-01,19361793.75
2023-05-02,19362600.0
2023-05-03,19363481.25
2023-05-04,19364393.75
2023-05-05,19365137.5
2023-05-06,19366068.75
2023-05-07,19366937.5
2023-05-08,19367793.75
2023-05-09,19368737.5
2023-05-10,19369800.0
2023-05-11,19370743.75
2023-05-12,19371625.0
2023-05-13,19372531.25
2023-05-14,19373618.75
2023-05-15,19374537.5
2023-05-16,19375493.75
2023-05-17,19376493.75
