date,value
2015-01-01,80.03677419354838
2015-02-01,82.29071428571429
2015-03-01,86.36806451612902
2015-04-01,87.148
2015-05-01,87.81741935483872
2015-06-01,84.807
2015-07-01,84.93290322580646
2015-08-01,84.14096774193548
2015-09-01,84.68599999999999
2015-10-01,88.05096774193548
2015-11-01,90.59833333333333
2015-12-01,91.06838709677419
2016-01-01,90.21000000000001
2016-02-01,85.59482758620689
2016-03-01,79.22516129032257
2016-04-01,81.80933333333334
2016-05-01,80.74709677419354
2016-06-01,81.628
2016-07-01,81.73129032258065
2016-08-01,79.96193548387097
2016-09-01,79.563
2016-10-01,80.81838709677419
2016-11-01,84.16233333333334
2016-12-01,86.68645161290323
2017-01-01,85.52967741935484
2017-02-01,85.69321428571428
2017-03-01,76.43096774193549
2017-04-01,66.78533333333333
2017-05-01,51.75838709677419
2017-06-01,41.61866666666666
2017-07-01,46.237741935483875
2017-08-01,46.85709677419354
2017-09-01,47.653
2017-10-01,53.988064516129036
2017-11-01,56.38433333333333
2017-12-01,51.66451612903226
2018-01-01,34.475806451612904
2018-02-01,36.519285714285715
2018-03-01,42.97741935483871
2018-04-01,41.405
2018-05-01,37.38935483870968
2018-06-01,39.941
2018-07-01,44.31903225806452
2018-08-01,51.32774193548387
2018-09-01,54.00266666666666
2018-10-01,53.309999999999995
2018-11-01,52.95
2018-12-01,53.637741935483874
2019-01-01,52.25774193548387
2019-02-01,52.590714285714284
2019-03-01,51.07774193548387
2019-04-01,52.304
2019-05-01,56.634838709677425
2019-06-01,57.346000000000004
2019-07-01,64.12677419354839
2019-08-01,67.9758064516129
2019-09-01,68.90166666666667
2019-10-01,66.538
2019-11-01,66.18733333333334
2019-12-01,67.25290322580646
2020-01-01,66.98133333333334
2020-02-01,63.215862068965514
2020-03-01,64.40677419354839
2020-04-01,64.27466666666666
2020-05-01,66.41387096774193
2020-06-01,64.34266666666666
2020-07-01,61.79129032258064
2020-08-01,58.65774193548388
2020-09-01,56.14033333333334
2020-10-01,59.07258064516129
2020-11-01,63.29633333333334
2020-12-01,64.62548387096774
2021-01-01,65.95483870967742
2021-02-01,60.31928571428572
2021-03-01,59.42741935483871
2021-04-01,51.88433333333333
2021-05-01,42.33516129032258
2021-06-01,43.00433333333333
2021-07-01,44.61870967741935
2021-08-01,43.387741935483874
2021-09-01,40.42766666666667
2021-10-01,43.22451612903226
2021-11-01,40.68966666666667
2021-12-01,38.51166666666666
2022-01-01,38.21193548387097
2022-02-01,39.520357142857144
2022-03-01,40.07838709677419
2022-04-01,38.854827586206895
2022-05-01,41.443225806451615
2022-06-01,42.30533333333334
2022-07-01,40.06677419354838
2022-08-01,38.25677419354839
2022-09-01,37.26366666666667
2022-10-01,37.923870967741934
2022-11-01,36.608
2022-12-01,37.5
2023-01-01,39.29258064516129
2023-02-01,40.269285714285715
2023-03-01,42.38322580645162
2023-04-01,44.41433333333334
2023-05-01,44.70548387096775
2023-06-01,46.22633333333333
2023-07-01,47.18935483870968
2023-08-01,46.560967741935485
2023-09-01,46.941
2023-10-01,49.14064516129032
2023-11-01,49.82666666666667
2023-12-01,49.73516129032258
2024-01-01,48.781290322580645
2024-02-01,49.42689655172414
2024-03-01,49.83290322580645
2024-04-01,50.96133333333333
2024-05-01,51.04838709677419
2024-06-01,51.344
2024-07-01,51.85258064516129
2024-08-01,53.891290322580645
2024-09-01,54.13766666666667
2024-10-01,54.94709677419355
2024-11-01,56.24733333333334
2024-12-01,53.56290322580645
2025-01-01,54.74161290322581
2025-02-01,57.84892857142857
2025-03-01,58.428709677419356
2025-04-01,60.61566666666667
2025-05-01,60.76548387096774
2025-06-01,61.717666666666666
2025-07-01,60.16290322580645
2025-08-01,56.81161290322581
2025-09-01,55.16241379310345
2025-10-01,56.26709677419355
2025-11-01,56.32066666666666
2025-12-01,56.22387096774194
2026-01-01,56.25967741935484
2026-02-01,55.83857142857143
2026-03-01,55.832258064516125
