date,value
2012-02-15,9337.0
2012-02-19,5958.0
2012-02-23,8014.0
2012-02-27,6735.0
2012-03-02,7645.0
2012-03-06,6368.0
2012-03-10,5370.0
2012-03-14,6895.0
2012-03-18,6039.0
2012-03-22,6587.0
2012-03-26,6619.0
2012-03-30,6828.0
2012-04-03,7739.0
2012-04-07,6080.0
2012-04-11,7858.0
2012-04-15,7371.0
2012-04-19,7900.0
2012-04-23,7104.0
2012-04-27,7195.0
2012-05-01,10208.0
2012-05-05,12998.0
2012-05-09,17245.0
2012-05-13,14737.0
2012-05-17,16935.0
2012-05-21,31604.0
2012-05-25,28999.0
2012-05-29,29816.0
2012-06-02,12800.0
2012-06-06,15937.0
2012-06-10,40721.0
2012-06-14,61938.0
2012-06-18,39071.0
2012-06-22,23565.0
2012-06-26,30235.0
2012-06-30,22618.0
2012-07-04,23164.0
2012-07-08,20799.0
2012-07-12,24303.0
2012-07-16,31379.0
2012-07-20,36794.0
2012-07-24,28369.0
2012-07-28,35230.0
2012-08-01,30538.0
2012-08-05,33283.0
2012-08-09,29942.0
2012-08-13,48872.0
2012-08-17,40554.0
2012-08-21,42415.0
2012-08-25,33439.0
2012-08-29,34209.0
2012-09-02,33588.0
2012-09-06,42790.0
2012-09-10,33632.0
2012-09-14,36118.0
2012-09-18,32821.0
2012-09-22,22014.0
2012-09-26,32413.0
2012-09-30,20668.0
2012-10-04,31955.0
2012-10-08,38211.0
2012-10-12,28693.0
2012-10-16,34533.0
2012-10-20,30699.0
2012-10-24,32194.0
2012-10-28,17965.0
2012-11-01,23638.0
2012-11-05,32184.0
2012-11-09,25157.0
2012-11-13,27131.0
2012-11-17,32538.0
2012-11-21,39066.0
2012-11-25,36736.0
2012-11-29,37423.0
2012-12-03,21659.0
2012-12-07,32145.0
2012-12-11,36779.0
2012-12-15,32365.0
2012-12-19,44765.0
2012-12-23,36738.0
2012-12-27,43787.0
2012-12-31,30064.0
2013-01-04,48589.0
2013-01-08,38624.0
2013-01-12,45671.0
2013-01-16,53629.0
2013-01-20,41371.0
2013-01-24,46221.0
2013-01-28,52180.0
2013-02-01,59382.0
2013-02-05,53420.0
2013-02-09,57750.0
2013-02-13,59090.0
2013-02-17,49635.0
2013-02-21,55916.0
2013-02-25,67144.0
2013-03-01,64535.0
2013-03-05,56868.0
2013-03-09,55546.0
2013-03-13,56690.0
2013-03-17,35348.0
2013-03-21,55564.0
2013-03-25,48993.0
2013-03-29,62259.0
2013-04-02,63276.0
2013-04-06,51718.0
2013-04-10,63881.0
2013-04-14,55471.0
2013-04-18,46631.0
2013-04-22,47194.0
2013-04-26,55264.0
2013-04-30,47599.0
2013-05-04,50493.0
2013-05-08,50439.0
2013-05-12,65428.0
2013-05-16,61158.0
2013-05-20,48821.0
2013-05-24,55401.0
2013-05-28,57070.0
2013-06-01,54311.0
2013-06-05,56560.0
2013-06-09,44471.0
2013-06-13,43193.0
2013-06-17,45943.0
2013-06-21,47027.0
2013-06-25,44629.0
2013-06-29,36545.0
2013-07-03,35531.0
2013-07-07,30356.0
2013-07-11,43434.0
2013-07-15,36754.0
2013-07-19,36759.0
2013-07-23,38432.0
2013-07-27,37643.0
2013-07-31,49524.0
2013-08-04,42946.0
2013-08-08,58022.0
